player_id,web_name,season,position,minutes,team,value,value_group,value_category,pts,pts_adj,xpts,xpts_90,color_code,group_color
69140,Mustafi,17,2,2272,Arsenal,5.42593,5.5,5.5-7.5,109,63.0,38.0386,1.41918,#6D597A,purple
69140,Mustafi,18,2,2611,Arsenal,5.40968,5.5,5.5-7.5,80,30.0,20.0425,0.735438,#6D597A,purple
69140,Mustafi,19,2,1205,Arsenal,5.12667,5.5,<5.5,43,17.0,7.43573,0.755776,#1f77b4,blue
71738,Stiepermann,19,3,1173,Norwich,5.23333,5.5,<5.5,32,1.0,10.2854,0.85083,#1f77b4,blue
72222,Klich,20,3,2386,Leeds,5.39429,5.5,<5.5,99,46.0,34.391,1.20662,#1f77b4,blue
72681,Odoi,18,2,2593,Fulham,4.41935,4.5,<5.5,44,-9.0,4.33633,0.129928,#1f77b4,blue
73314,Willian José,20,4,1106,Wolves,6.9,6.5,5.5-7.5,40,10.0,9.75395,0.793721,#6D597A,purple
73426,Gray,17,4,1486,Watford,6.32581,6.5,5.5-7.5,79,33.0,35.5329,2.15206,#6D597A,purple
73426,Gray,18,4,1352,Watford,5.95862,6.5,5.5-7.5,83,44.0,30.4915,2.02976,#6D597A,purple
73494,Krychowiak,17,3,1634,West Brom,4.88889,4.5,<5.5,58,17.0,13.7508,0.809891,#1f77b4,blue
74033,Clucas,17,3,2039,Swansea,4.8069,4.5,<5.5,75,27.0,18.3771,0.814861,#1f77b4,blue
74208,Pogba,17,3,2145,Man Utd,7.94815,8.5,7.5-10,138,95.0,65.4578,2.74268,#E56B6F,red
74208,Pogba,18,3,3007,Man Utd,8.38571,8.5,7.5-10,179,122.0,83.3693,2.42023,#E56B6F,red
74208,Pogba,19,3,1202,Man Utd,8.38125,8.5,7.5-10,51,25.0,23.1791,1.66411,#E56B6F,red
74208,Pogba,20,3,1892,Man Utd,7.72308,7.5,7.5-10,92,49.0,25.6275,1.31723,#E56B6F,red
74230,van Aanholt,17,2,2182,Crystal Palace,5.16786,5.5,<5.5,95,51.0,38.4436,1.89338,#1f77b4,blue
74230,van Aanholt,18,2,3196,Crystal Palace,5.43889,5.5,5.5-7.5,140,72.0,54.8448,1.52188,#6D597A,purple
74230,van Aanholt,19,2,2507,Crystal Palace,5.56207,5.5,5.5-7.5,109,54.0,44.1507,1.49639,#6D597A,purple
74230,van Aanholt,20,2,1775,Crystal Palace,5.4,5.5,5.5-7.5,54,15.0,18.5888,0.93782,#6D597A,purple
74375,Schelotto,17,2,1313,Brighton,4.405,4.5,<5.5,20,-11.0,6.86721,0.840391,#1f77b4,blue
74471,Mooy,17,3,3066,Huddersfield,5.43056,5.5,5.5-7.5,113,47.0,44.2024,1.25403,#6D597A,purple
74471,Mooy,18,3,2326,Huddersfield,5.13103,5.5,<5.5,76,26.0,43.5208,1.44702,#1f77b4,blue
74471,Mooy,19,3,2079,Brighton,4.79677,4.5,<5.5,80,31.0,30.4961,1.31893,#1f77b4,blue
75115,Callum Wilson,19,4,2906,Bournemouth,7.59429,7.5,7.5-10,116,58.0,52.7642,1.63413,#E56B6F,red
75115,Wilson,17,4,1981,Bournemouth,5.85357,5.5,5.5-7.5,102,51.0,38.5443,1.75113,#6D597A,purple
75115,Wilson,18,4,2528,Bournemouth,6.54333,6.5,5.5-7.5,168,114.0,81.0986,2.85585,#6D597A,purple
75115,Wilson,20,4,2081,Newcastle,6.55385,6.5,5.5-7.5,134,88.0,62.7682,2.56755,#6D597A,purple
76357,Cairney,18,3,2188,Fulham,4.70968,4.5,<5.5,71,16.0,19.519,0.776465,#1f77b4,blue
76359,Jones,17,2,1973,Man Utd,5.36522,5.5,<5.5,116,75.0,31.9188,1.43522,#1f77b4,blue
76359,Jones,18,2,1261,Man Utd,5.11111,5.5,<5.5,43,14.0,13.8942,0.938886,#1f77b4,blue
76360,Mendez-Laing,18,3,978,Cardiff,4.83,4.5,<5.5,63,33.0,22.7503,1.74263,#1f77b4,blue
76542,Ki Sung-yueng,17,3,1865,Swansea,4.872,4.5,<5.5,73,30.0,14.6173,0.691767,#1f77b4,blue
76542,Ki Sung-yueng,18,3,1298,Newcastle,4.72222,4.5,<5.5,38,8.0,6.93395,0.49509,#1f77b4,blue
77359,Lejeune,17,2,2103,Newcastle,4.35417,4.5,<5.5,66,22.0,22.2902,0.919635,#1f77b4,blue
77359,Lejeune,18,2,1054,Newcastle,4.4,4.5,<5.5,35,11.0,9.61659,0.633644,#1f77b4,blue
77777,Hegazi,17,2,3386,West Brom,4.64211,4.5,<5.5,114,43.0,35.044,0.993302,#1f77b4,blue
77794,Trippier,17,2,1912,Spurs,5.37917,5.5,<5.5,113,69.0,50.5503,2.59945,#1f77b4,blue
77794,Trippier,18,2,2275,Spurs,6.1037,6.5,5.5-7.5,118,70.0,48.1437,1.8583,#6D597A,purple
78007,King,17,4,2450,Bournemouth,7.07879,7.5,5.5-7.5,110,54.0,47.7632,1.64899,#6D597A,purple
78007,King,18,4,2963,Bournemouth,6.38286,6.5,5.5-7.5,141,77.0,61.4343,1.82492,#6D597A,purple
78007,King,19,4,2010,Bournemouth,6.21923,6.5,5.5-7.5,99,50.0,43.8107,1.75123,#6D597A,purple
78056,Oriol Romeu,17,3,2897,Southampton,4.36176,4.5,<5.5,68,13.0,29.7474,0.926872,#1f77b4,blue
78056,Oriol Romeu,18,3,2131,Southampton,4.29677,4.5,<5.5,55,14.0,14.0103,0.598152,#1f77b4,blue
78056,Oriol Romeu,19,3,1855,Southampton,4.39,4.5,<5.5,51,6.0,11.2321,0.605957,#1f77b4,blue
78056,Oriol Romeu,20,3,1762,Southampton,4.5,4.5,<5.5,52,18.0,12.9861,0.57137,#1f77b4,blue
78356,Austin,17,4,1024,Southampton,6.05833,6.5,5.5-7.5,72,40.0,36.7613,2.91899,#6D597A,purple
78356,Austin,18,4,970,Southampton,5.58,5.5,5.5-7.5,46,15.0,16.9145,1.36732,#6D597A,purple
78412,Okazaki,17,4,1314,Leicester,5.48148,5.5,5.5-7.5,76,40.0,38.4884,2.63619,#6D597A,purple
78607,McLean,19,3,2965,Norwich,4.87568,4.5,<5.5,77,13.0,20.8762,0.637691,#1f77b4,blue
78830,Kane,17,4,3074,Spurs,12.8,14.0,10+,217,153.0,140.068,4.05586,#f7b267,orange
78830,Kane,18,4,2423,Spurs,12.4679,14.0,10+,160,110.0,86.0634,3.03215,#f7b267,orange
78830,Kane,19,4,2588,Spurs,10.9345,14.0,10+,158,104.0,62.5574,2.11119,#f7b267,orange
78830,Kane,20,4,3083,Spurs,11.1371,14.0,10+,242,174.0,132.343,3.82841,#f7b267,orange
78916,Burn,19,2,2879,Brighton,4.5,4.5,<5.5,86,26.0,29.3787,0.88566,#1f77b4,blue
